alpha,vfuel,air_LPM,flame_length,max_temp,rop_NO,rop_NO2,rop_N2O
0.28,23.0,105.55555555555556,0.001276595744680851,300.02538217407675,3.4533841892789e-65,3.453384189442334e-65,3.4533841888207366e-65
0.28,23.0,126.66666666666666,0.000851063829787234,300.05200946793013,3.4533841893450414e-65,3.453384189393222e-65,3.4533841894342866e-65
0.28,23.0,147.77777777777777,0.0,300.0,3.4533841891292713e-65,3.4533841888640705e-65,3.4533841893027157e-65
0.28,23.0,168.88888888888889,0.001276595744680851,300.0000010780063,3.453382955355015e-65,3.45338418917388e-65,3.4533841893432606e-65
0.28,23.0,190.0,0.000851063829787234,300.00815228860563,3.3689960178529235e-65,3.453378029240715e-65,3.453384188737703e-65
0.28,25.0,0.0,0.01957446808510638,301.7370635074644,1.170282797737196e-21,5.311183288351836e-22,2.1256923733307813e-22
0.28,25.0,18.88888888888889,0.005531914893617021,300.00022743335836,3.3125014740451736e-65,3.43003470526975e-65,3.4502519314159563e-65
0.28,25.0,37.77777777777778,0.003404255319148936,300.00020000025444,3.453384189192164e-65,3.4533841892490074e-65,3.4533841891907782e-65
0.28,25.0,56.66666666666667,0.002127659574468085,301.9704728371155,-1.6519162130436623e-37,2.8875584453850344e-37,-1.4103351459529808e-37
0.28,25.0,75.55555555555556,0.0,300.0,3.4533841894568747e-65,3.4533841891800754e-65,3.453384189525247e-65
0.28,25.0,94.44444444444444,0.001276595744680851,301.21513725108434,-6.371204912573919e-40,-1.609483748396963e-39,-6.217349684467763e-39
0.28,25.0,113.33333333333334,0.006808510638297872,300.0000000000014,3.4533841892221877e-65,3.453384189322876e-65,3.4533841895690407e-65
0.28,25.0,132.22222222222223,0.000851063829787234,303.6194391423598,3.4533841894753725e-65,3.45338418935328e-65,3.4533841890578833e-65
0.28,25.0,151.11111111111111,0.000851063829787234,300.0331886501786,-4.2984747676534584e-45,8.400053166488196e-46,5.613687486078718e-47
0.28,25.0,170.0,0.000851063829787234,300.00001074115585,3.4533835124079423e-65,3.453384188860371e-65,3.4533841894302228e-65
0.5,20.0,0.0,0.01957446808510638,301.66469958502995,-2.3903175702431004e-22,-2.1071952054304962e-22,-1.3057404623921566e-22
0.5,20.0,27.77777777777778,0.003829787234042553,300.0005096465902,3.453384189249313e-65,3.45338418916326e-65,3.453384189229983e-65
0.5,20.0,55.55555555555556,0.002127659574468085,300.0070501843393,5.978125337336045e-56,7.311878871334128e-56,6.276246871802369e-56
0.5,20.0,83.33333333333334,0.001276595744680851,301.20611680955506,-1.8074954579158715e-40,-6.870851143278645e-39,-3.11360215774381e-38
0.5,20.0,111.11111111111111,0.000851063829787234,302.54634747741346,1.968613615823096e-31,8.517632871166125e-31,5.743443565098645e-33
0.5,20.0,138.88888888888889,0.004680851063829788,300.00000000000017,3.3375217828915634e-65,3.545383692912973e-65,3.697467970697717e-65
0.5,20.0,166.66666666666669,0.000851063829787234,300.00000733677507,3.3180489757820313e-65,3.4419840383327246e-65,3.529946309438251e-65
0.5,20.0,194.44444444444446,0.000851063829787234,300.0033236935581,8.832980053087719e-39,-6.390848017018885e-39,-1.0974395268073605e-38
0.5,20.0,222.22222222222223,0.000425531914893617,307.42570002391363,-1.603868651957455e-30,1.0281495805071368e-31,-3.4861515907456236e-30
0.5,20.0,250.0,0.000425531914893617,300.7402098341581,2.1993564636813405e-35,-5.736503391239268e-36,6.907376345460714e-36
0.5,30.0,0.0,0.01957446808510638,301.6773817653364,1.424630190838203e-21,-1.812248403656522e-23,1.102560519209995e-22
0.5,30.0,27.77777777777778,0.005106382978723404,300.00000014136225,3.4533841893231473e-65,3.4533841892707737e-65,3.4533841893116095e-65
0.5,30.0,55.55555555555556,0.0029787234042553193,300.0004914170334,3.4533841891694286e-65,3.4533841893057725e-65,3.453384189155066e-65
0.5,30.0,83.33333333333334,0.002127659574468085,300.0005526625121,1.6902833666593844e-64,4.596598093928361e-65,3.118189965093793e-65
0.5,30.0,111.11111111111111,0.001702127659574468,300.00020506562674,2.929470004882917e-62,5.465273282234115e-61,3.845375739648345e-61
0.5,30.0,138.88888888888889,0.001276595744680851,300.00000018308447,3.4533841892186156e-65,3.453384189420326e-65,3.4533841889780375e-65
0.5,30.0,166.66666666666669,0.000851063829787234,301.21578666421334,3.4527212059896183e-65,3.4533841406396854e-65,3.4533841891593886e-65
0.5,30.0,194.44444444444446,0.000851063829787234,300.0400618943357,-7.582525021558648e-65,3.4526027015680734e-65,3.4533841341604987e-65
0.5,30.0,222.22222222222223,0.000851063829787234,300.027549900079,-1.2138904030504694e-60,-4.859092869413359e-65,3.452816621845855e-65
0.5,30.0,250.0,0.000851063829787234,300.07878288963997,-5.668571149136901e-56,-3.75225649298155e-60,-2.131392859479519e-64
0.5,35.0,0.0,0.01957446808510638,302.0927878974141,1.5579731014975948e-21,-1.0673506249503802e-21,4.928004474558153e-22
0.5,35.0,27.77777777777778,0.005531914893617021,300.0067633090374,3.453384189186922e-65,3.4533841892008874e-65,3.4533841892379145e-65
0.5,35.0,55.55555555555556,0.003404255319148936,300.0000214335337,3.453384189342207e-65,3.453384189170764e-65,3.453384189237931e-65
0.5,35.0,83.33333333333334,0.002127659574468085,302.1591091111065,-4.199555572720242e-35,5.871430624257539e-35,-2.494647881927458e-35
